Time,URL,IP,OS,Browser
4:31:17,http://localhost:5000/api/members,::1,Windows,Edge
4:49:10,http://localhost:5000/api/members/2,::1,Windows,Edge
4:49:17,http://localhost:5000/api/members/46,::1,Windows,Edge
5:00:27,http://localhost:5000/api/members/46,::1,Windows,Edge
5:00:32,http://localhost:5000/api/members/2,::1,Windows,Edge
5:17:45,http://localhost:5000/api/members,::1,undefined,undefined
5:18:16,http://localhost:5000/api/members/4,::1,undefined,undefined
5:18:20,http://localhost:5000/api/members/2,::1,undefined,undefined
5:18:50,http://localhost:5000/api/memebers,::1,undefined,undefined
5:19:05,http://localhost:5000/api/memebers,::1,undefined,undefined
5:19:47,http://localhost:5000/api/memebers,::1,undefined,undefined
5:20:07,http://localhost:5000/api/members,::1,undefined,undefined
5:21:08,http://localhost:5000/api/members,::1,undefined,undefined
5:21:39,http://localhost:5000/api/members,::1,undefined,undefined
5:23:04,http://localhost:5000/api/members,::1,undefined,undefined
5:24:00,http://localhost:5000/api/members,::1,undefined,undefined
5:30:09,http://localhost:5000/api/members?name=Luis&email=Luisito@gmail.com,::1,undefined,undefined
5:30:33,http://localhost:5000/api/members?name=Luis&email=Luisito@gmail.com,::1,undefined,undefined
5:31:48,http://localhost:5000/api/members?name=Luis&email=Luisito@gmail.com,::1,undefined,undefined
5:33:47,http://localhost:5000/api/members,::1,undefined,undefined
5:37:14,http://localhost:5000/api/members,::1,undefined,undefined
5:37:26,http://localhost:5000/api/members,::1,undefined,undefined
5:39:35,http://localhost:5000/api/members,::1,undefined,undefined
5:40:15,http://localhost:5000/api/members,::1,undefined,undefined
5:40:55,http://localhost:5000/api/members,::1,undefined,undefined
5:41:13,http://localhost:5000/api/members,::1,undefined,undefined
5:43:26,http://localhost:5000/api/members,::1,undefined,undefined
5:43:52,http://localhost:5000/api/members,::1,undefined,undefined
5:44:07,http://localhost:5000/api/members,::1,undefined,undefined
5:45:13,http://localhost:5000/api/members,::1,undefined,undefined
5:45:26,http://localhost:5000/api/members,::1,undefined,undefined
5:55:05,http://localhost:5000/api/members/2,::1,Windows,Edge
6:05:34,http://localhost:5000/api/members,::1,undefined,undefined
6:05:44,http://localhost:5000/api/members,::1,undefined,undefined
6:05:46,http://localhost:5000/api/members,::1,undefined,undefined
6:06:36,http://localhost:5000/api/members,::1,undefined,undefined
6:06:47,http://localhost:5000/api/members/4,::1,undefined,undefined
6:07:00,http://localhost:5000/api/members/4,::1,undefined,undefined
